booking_id,user_id,showtime_id,total_paid
188,330,398,45.0
189,82,37,30.0
190,292,388,30.0
191,177,250,15.0
192,200,231,30.0
193,133,268,15.0
194,115,297,30.0
195,341,254,15.0
196,64,114,45.0
197,250,381,15.0
198,444,278,15.0
199,14,264,45.0
200,217,379,45.0
201,296,323,15.0
202,421,94,15.0
203,184,81,30.0
204,345,147,30.0
205,209,2,15.0
206,408,13,30.0
207,491,373,15.0
208,339,385,15.0
209,163,302,45.0
210,283,333,15.0
211,107,11,15.0
212,416,270,15.0
213,182,183,30.0
214,392,232,15.0
215,91,296,45.0
216,477,119,45.0
217,6,236,15.0
218,357,4,15.0
219,335,99,15.0
220,353,67,30.0
221,378,98,45.0
222,227,281,30.0
223,363,79,30.0
224,303,297,30.0
225,388,15,15.0
226,167,221,45.0
227,467,2,30.0
228,466,33,45.0
229,258,388,30.0
230,408,266,45.0
231,295,224,15.0
232,33,7,45.0
233,436,304,15.0
234,283,132,15.0
235,48,204,45.0
236,139,274,30.0
237,245,288,30.0
238,58,138,45.0
239,425,272,15.0
240,290,198,30.0
241,202,171,15.0
242,151,290,30.0
243,492,39,15.0
244,92,65,15.0
245,111,143,45.0
246,361,46,15.0
247,153,355,45.0
248,194,179,30.0
249,373,98,15.0
250,88,138,15.0
251,129,340,15.0
252,445,236,45.0
253,355,118,30.0
254,61,314,30.0
255,317,237,30.0
256,79,101,45.0
257,322,49,30.0
258,132,167,30.0
259,379,77,30.0
260,470,68,30.0
261,343,146,15.0
262,149,369,30.0
263,457,59,45.0
264,254,149,15.0
265,387,46,30.0
266,407,27,30.0
267,27,111,15.0
268,310,202,15.0
269,318,373,30.0
270,332,89,15.0
271,302,88,45.0
272,366,265,45.0
273,474,356,30.0
274,462,115,15.0
275,430,245,30.0
276,330,300,30.0
277,413,96,45.0
278,327,178,15.0
279,264,317,45.0
280,57,186,15.0
281,43,233,30.0
282,456,399,45.0
283,145,232,15.0
284,81,366,30.0
285,189,392,45.0
286,394,260,45.0
287,161,340,30.0
288,444,41,15.0
289,306,132,15.0
290,8,237,15.0
291,478,199,45.0
292,165,100,15.0
293,192,321,45.0
294,124,94,45.0
295,33,215,15.0
296,400,155,45.0
297,432,102,15.0
298,3,164,45.0
299,354,221,30.0
300,405,175,15.0
301,436,210,15.0
302,270,68,45.0
303,63,81,30.0
304,319,215,45.0
305,458,248,30.0
306,111,384,45.0
307,109,60,15.0
308,156,96,30.0
309,466,263,45.0
310,325,21,45.0
311,203,364,30.0
312,281,259,30.0
313,428,28,15.0
314,421,375,15.0
315,378,164,30.0
316,342,32,45.0
317,150,62,45.0
318,57,91,45.0
319,111,229,30.0
320,46,250,15.0
321,459,151,45.0
322,41,98,45.0
323,473,173,30.0
324,4,341,15.0
325,287,29,15.0
326,275,290,30.0
327,373,16,45.0
328,66,334,15.0
329,391,278,45.0
330,413,275,30.0
331,386,356,15.0
332,353,276,30.0
333,341,24,45.0
334,230,380,30.0
335,462,204,30.0
336,240,80,15.0
337,48,169,30.0
338,319,10,30.0
339,44,113,15.0
340,60,89,15.0
341,266,398,30.0
342,449,17,45.0
343,95,58,45.0
344,355,19,45.0
345,90,135,45.0
346,404,366,45.0
347,434,396,30.0
348,124,213,15.0
349,181,242,15.0
350,308,273,15.0
351,155,166,15.0
352,252,336,30.0
353,314,122,30.0
354,66,146,45.0
355,379,203,15.0
356,452,326,30.0
357,233,144,30.0
358,475,219,15.0
359,410,246,30.0
360,306,149,30.0
361,183,87,15.0
362,394,354,30.0
363,389,153,30.0
364,412,245,30.0
365,22,16,30.0
366,151,92,30.0
367,426,140,30.0
368,383,123,15.0
369,123,182,30.0
370,47,102,45.0
371,435,335,15.0
372,379,397,30.0
373,346,283,15.0
374,305,158,45.0
375,221,142,45.0
376,24,142,45.0
377,40,147,30.0
378,319,332,15.0
379,217,224,15.0
380,430,188,45.0
381,360,287,15.0
382,288,314,30.0
383,372,364,15.0
384,16,249,45.0
385,74,170,45.0
386,263,171,45.0
387,403,32,15.0
388,379,71,45.0
389,170,132,45.0
390,115,239,45.0
391,31,122,15.0
392,427,26,45.0
393,459,328,45.0
394,172,172,45.0
395,496,326,30.0
396,122,333,30.0
397,158,39,15.0
398,131,11,15.0
399,34,153,45.0
400,245,38,15.0
401,163,50,15.0
402,165,345,45.0
403,3,150,15.0
404,295,285,30.0
405,140,259,15.0
406,54,86,15.0
407,144,274,15.0
408,211,154,45.0
409,98,161,15.0
410,463,283,30.0
411,22,65,30.0
412,126,105,15.0
413,73,190,15.0
414,174,378,45.0
415,142,107,15.0
416,193,247,15.0
417,252,177,15.0
418,337,270,45.0
419,3,190,30.0
420,267,281,15.0
421,485,78,15.0
422,434,313,15.0
423,422,388,15.0
424,169,280,15.0
425,26,257,30.0
426,126,185,30.0
427,109,375,45.0
428,328,97,45.0
429,334,246,30.0
430,382,350,30.0
431,369,341,30.0
432,166,53,30.0
433,144,94,45.0
434,222,311,15.0
435,418,193,45.0
436,167,313,30.0
437,175,280,15.0
438,132,136,30.0
439,481,226,45.0
440,246,115,15.0
441,219,255,15.0
442,145,146,15.0
443,300,229,30.0
444,466,321,45.0
445,82,277,45.0
446,465,111,30.0
447,427,270,45.0
448,305,111,45.0
449,259,373,30.0
450,249,18,30.0
451,295,140,15.0
452,484,320,30.0
453,181,378,45.0
454,494,64,15.0
455,432,189,45.0
456,157,314,15.0
457,88,285,45.0
458,76,39,15.0
459,24,120,30.0
460,474,75,15.0
461,63,357,45.0
462,72,111,30.0
463,301,149,45.0
464,387,214,45.0
465,428,341,30.0
466,108,37,15.0
467,369,72,15.0
468,101,189,15.0
469,324,358,30.0
470,427,244,15.0
471,129,374,15.0
472,224,276,15.0
473,197,167,45.0
474,154,283,15.0
475,64,119,45.0
476,428,300,15.0
477,320,368,30.0
478,100,151,45.0
479,260,193,30.0
480,376,155,45.0
481,138,368,30.0
482,233,163,15.0
483,352,152,15.0
484,403,203,45.0
485,27,309,15.0
486,98,249,15.0
487,85,396,15.0
488,494,371,15.0
489,493,234,45.0
490,331,355,45.0
491,444,150,30.0
492,138,195,30.0
493,60,49,15.0
494,83,324,15.0
495,397,70,45.0
496,34,170,15.0
497,443,172,15.0
498,234,206,30.0
499,335,33,15.0
500,72,285,30.0
501,170,305,15.0
502,132,242,45.0
503,247,32,15.0
504,197,146,15.0
505,369,250,45.0
506,428,24,15.0
507,322,250,45.0
508,361,315,30.0
509,446,348,30.0
510,399,64,45.0
511,298,139,15.0
512,460,248,30.0
513,343,15,15.0
514,248,310,45.0
515,438,327,30.0
516,146,227,15.0
517,295,206,45.0
518,26,188,15.0
519,269,123,15.0
520,64,82,15.0
521,223,322,15.0
522,417,32,15.0
523,212,96,30.0
524,102,86,45.0
525,438,205,15.0
526,452,398,30.0
527,323,22,30.0
528,218,56,45.0
529,51,158,15.0
530,100,61,30.0
531,9,59,30.0
532,47,22,30.0
533,461,354,30.0
534,302,186,30.0
535,173,36,30.0
536,474,170,15.0
537,10,47,30.0
538,456,76,45.0
539,51,116,30.0
540,90,265,30.0
541,68,361,30.0
542,384,247,15.0
543,177,366,15.0
544,317,333,45.0
545,116,394,15.0
546,153,210,45.0
547,182,186,45.0
548,408,150,15.0
549,488,206,30.0
550,352,246,45.0
551,418,31,15.0
552,25,222,30.0
553,263,127,45.0
554,381,308,15.0
555,495,150,15.0
556,250,70,15.0
557,269,45,15.0
558,500,238,15.0
559,241,179,15.0
560,474,80,30.0
561,173,238,30.0
562,30,162,15.0
563,79,142,30.0
564,462,356,45.0
565,121,113,30.0
566,102,98,45.0
567,26,24,30.0
568,57,16,30.0
569,251,322,15.0
570,159,193,15.0
571,180,203,45.0
572,76,93,30.0
573,268,44,30.0
574,325,45,45.0
575,372,112,15.0
576,117,297,15.0
577,417,9,30.0
578,320,257,15.0
579,335,179,30.0
580,119,131,15.0
581,323,180,15.0
582,333,242,15.0
583,200,267,30.0
584,77,2,15.0
585,209,7,30.0
586,388,303,15.0
587,171,12,30.0
588,222,64,15.0
589,174,290,30.0
590,338,67,15.0
591,23,350,45.0
592,46,391,30.0
593,173,263,45.0
594,362,177,15.0
595,111,279,45.0
596,255,188,45.0
597,470,304,30.0
598,46,83,30.0
599,470,390,45.0
600,24,362,45.0
601,360,396,15.0
602,58,64,45.0
603,183,101,30.0
604,303,203,45.0
605,202,273,15.0
606,136,135,15.0
607,151,56,15.0
608,215,11,15.0
609,350,368,45.0
610,257,359,30.0
611,183,371,45.0
612,341,136,15.0
613,325,182,45.0
614,454,204,30.0
615,218,288,15.0
616,22,40,30.0
617,169,400,30.0
618,8,129,30.0
619,287,386,45.0
620,404,29,15.0
621,109,292,45.0
622,42,53,45.0
623,17,130,30.0
624,181,38,30.0
625,147,111,45.0
626,187,365,15.0
627,318,87,45.0
628,253,233,45.0
629,65,98,30.0
630,79,290,15.0
631,152,325,15.0
632,405,242,30.0
633,338,262,15.0
634,75,167,15.0
635,289,148,15.0
636,186,294,15.0
637,335,379,30.0
638,53,53,15.0
639,155,306,45.0
640,487,137,15.0
641,376,366,30.0
642,137,400,15.0
643,290,354,45.0
644,17,86,45.0
645,53,300,45.0
646,67,3,30.0
647,204,8,15.0
648,370,302,45.0
649,468,107,45.0
650,58,176,45.0
651,304,56,30.0
652,78,350,45.0
653,292,197,45.0
654,276,181,45.0
655,481,60,45.0
656,208,27,15.0
657,59,357,45.0
658,80,120,15.0
659,225,316,15.0
660,227,176,45.0
661,279,294,30.0
662,116,251,30.0
663,82,90,45.0
664,482,21,30.0
665,47,110,15.0
666,129,380,30.0
667,201,104,45.0
668,301,220,45.0
669,102,64,30.0
670,371,390,30.0
671,26,295,45.0
672,378,174,15.0
673,348,58,45.0
674,109,88,30.0
675,204,330,45.0
676,58,345,45.0
677,489,127,45.0
678,357,314,45.0
679,356,207,30.0
680,227,196,30.0
681,122,15,45.0
682,122,387,30.0
683,270,318,30.0
684,346,222,45.0
685,486,320,45.0
686,419,189,15.0
687,432,300,45.0
688,190,185,30.0
689,500,365,15.0
690,492,138,45.0
691,111,251,15.0
692,150,30,15.0
693,407,63,30.0
694,325,68,30.0
695,111,4,45.0
696,229,161,30.0
697,390,387,45.0
698,90,333,45.0
699,278,18,45.0
700,495,388,30.0
701,457,29,30.0
702,244,201,45.0
703,348,341,15.0
704,228,60,15.0
705,392,40,15.0
706,10,143,30.0
707,445,374,45.0
708,424,366,45.0
709,413,181,30.0
710,160,23,30.0
711,38,328,30.0
712,115,120,45.0
713,99,213,45.0
714,127,75,45.0
715,84,198,45.0
716,339,369,45.0
717,459,342,45.0
718,444,308,15.0
719,269,184,45.0
720,97,185,30.0
721,61,367,15.0
722,451,380,45.0
723,422,391,15.0
724,224,20,30.0
725,210,182,45.0
726,427,289,15.0
727,77,13,30.0
728,453,389,30.0
729,439,275,45.0
730,261,173,15.0
731,249,159,30.0
732,440,291,15.0
733,66,190,30.0
734,285,66,45.0
735,331,176,45.0
736,280,150,30.0
737,435,388,45.0
738,168,389,45.0
739,287,28,15.0
740,230,270,30.0
741,148,205,15.0
742,403,334,45.0
743,486,281,30.0
744,97,70,30.0
745,422,93,15.0
746,106,202,15.0
747,192,165,15.0
748,53,250,15.0
749,449,248,30.0
750,82,154,30.0
751,442,173,45.0
752,211,146,15.0
753,439,12,15.0
754,391,185,30.0
755,171,44,30.0
756,189,126,30.0
757,321,55,30.0
758,253,286,45.0
759,47,223,30.0
760,414,103,15.0
761,409,168,45.0
762,481,382,45.0
763,47,393,45.0
764,374,198,30.0
765,141,284,45.0
766,93,310,45.0
767,140,100,30.0
768,242,360,15.0
769,190,375,30.0
770,289,109,30.0
771,228,336,30.0
772,288,7,45.0
773,366,18,15.0
774,364,261,15.0
775,364,279,45.0
776,118,224,15.0
777,119,55,15.0
778,288,271,30.0
779,7,21,30.0
780,366,277,30.0
781,245,317,30.0
782,237,216,15.0
783,232,383,30.0
784,31,286,15.0
785,77,25,15.0
786,128,256,15.0
787,18,189,15.0
788,414,226,45.0
789,438,383,45.0
790,499,79,15.0
791,446,187,30.0
792,419,52,30.0
793,341,266,45.0
794,346,68,15.0
795,426,30,15.0
796,21,130,30.0
797,464,16,15.0
798,320,217,15.0
799,162,46,30.0
800,237,125,30.0
801,197,94,30.0
802,210,16,15.0
803,395,251,15.0
804,144,21,45.0
805,260,287,30.0
806,61,1,30.0
807,340,17,30.0
808,19,289,15.0
809,112,204,45.0
810,97,69,30.0
811,374,201,15.0
812,384,74,45.0
813,246,26,15.0
814,129,1,45.0
815,94,326,30.0
816,489,238,45.0
817,113,172,30.0
818,396,259,30.0
819,23,25,30.0
820,469,6,15.0
821,133,296,15.0
822,271,214,45.0
823,218,169,45.0
824,443,227,30.0
825,329,214,30.0
826,251,303,45.0
827,38,134,30.0
828,366,110,15.0
829,410,325,30.0
830,468,266,30.0
831,378,380,30.0
832,402,168,45.0
833,169,118,15.0
834,137,274,30.0
835,322,151,45.0
836,371,35,15.0
837,390,217,30.0
838,139,199,15.0
839,63,310,15.0
840,299,68,15.0
841,479,6,30.0
842,271,369,45.0
843,425,332,45.0
844,491,292,45.0
845,142,128,45.0
846,70,21,15.0
847,6,315,30.0
848,245,102,15.0
849,402,48,45.0
850,148,273,30.0
851,123,387,15.0
852,69,49,45.0
853,163,337,15.0
854,160,145,30.0
855,75,242,30.0
856,215,389,15.0
857,125,190,30.0
858,87,388,15.0
859,392,36,45.0
860,471,368,15.0
861,203,383,15.0
862,220,352,15.0
863,393,8,15.0
864,328,91,15.0
865,115,138,15.0
866,383,265,45.0
867,107,343,45.0
868,149,246,15.0
869,274,114,30.0
870,12,63,45.0
871,52,231,30.0
872,153,179,45.0
873,248,203,45.0
874,409,76,15.0
875,428,270,45.0
876,224,23,15.0
877,238,232,30.0
878,87,100,45.0
879,47,49,30.0
880,248,273,30.0
881,31,396,45.0
882,400,143,45.0
883,94,239,45.0
884,266,388,45.0
885,386,320,15.0
886,329,203,45.0
887,344,124,30.0
888,329,332,30.0
889,168,307,30.0
890,465,20,45.0
891,380,216,45.0
892,459,332,15.0
893,160,349,45.0
894,431,83,30.0
895,272,325,45.0
896,13,101,15.0
897,293,108,15.0
898,211,111,45.0
899,119,374,30.0
900,324,111,30.0
901,222,281,15.0
902,452,188,30.0
903,310,301,15.0
904,190,30,15.0
905,249,108,15.0
906,415,232,15.0
907,146,346,30.0
908,113,193,30.0
909,190,362,15.0
910,470,321,15.0
911,353,313,15.0
912,427,30,30.0
913,71,36,30.0
914,129,113,15.0
915,396,380,45.0
916,104,140,15.0
917,200,202,30.0
918,366,102,15.0
919,477,282,15.0
920,122,272,45.0
921,14,286,30.0
922,398,167,45.0
923,145,277,15.0
924,488,303,30.0
925,173,348,45.0
926,245,363,15.0
927,184,86,15.0
928,186,30,15.0
929,201,174,15.0
930,189,251,30.0
931,116,367,15.0
932,231,132,15.0
933,499,184,45.0
934,328,271,30.0
935,199,383,45.0
936,130,74,15.0
937,223,108,15.0
938,14,152,30.0
939,144,36,30.0
940,213,207,45.0
941,74,174,30.0
942,401,222,15.0
943,168,291,45.0
944,336,88,30.0
945,462,102,45.0
946,491,39,30.0
947,417,187,45.0
948,294,400,30.0
949,95,357,45.0
950,98,21,30.0
951,75,5,30.0
952,131,279,15.0
953,51,393,30.0
954,176,237,30.0
955,148,268,15.0
956,166,244,45.0
957,105,375,30.0
958,140,370,45.0
959,433,203,15.0
960,82,378,30.0
961,47,376,15.0
962,315,247,30.0
963,15,207,30.0
964,431,34,30.0
965,214,169,45.0
966,486,259,15.0
967,316,101,30.0
968,282,54,15.0
969,476,79,30.0
970,444,33,15.0
971,341,287,15.0
972,216,331,30.0
973,401,176,45.0
974,414,234,45.0
975,269,49,30.0
976,290,326,45.0
977,322,287,15.0
978,244,336,30.0
979,426,118,15.0
980,119,281,30.0
981,181,389,15.0
982,21,174,45.0
983,377,312,30.0
984,318,198,15.0
985,99,277,45.0
986,447,12,30.0
987,143,355,30.0
988,135,157,30.0
989,230,85,15.0
990,472,202,45.0
991,331,4,45.0
992,470,62,30.0
993,260,228,30.0
994,309,54,15.0
995,488,95,30.0
996,389,251,45.0
997,375,377,30.0
998,251,97,15.0
999,391,309,15.0
1000,140,144,30.0
