showtime_id,movie_id,screen_id,price
243,40,4,18.5
244,45,8,18.5
245,60,43,18.5
246,11,48,12.5
247,33,27,15.0
248,32,27,18.5
249,32,58,15.0
250,10,4,18.5
251,39,37,12.5
252,48,41,18.5
253,4,3,18.5
254,50,54,15.0
255,5,16,12.5
256,55,53,15.0
257,5,15,12.5
258,33,30,18.5
259,10,49,12.5
260,35,2,18.5
261,47,32,18.5
262,2,52,18.5
263,54,49,12.5
264,34,20,12.5
265,54,59,18.5
266,44,31,12.5
267,10,46,18.5
268,15,4,15.0
269,17,37,15.0
270,39,57,12.5
271,57,50,15.0
272,47,19,15.0
273,38,50,15.0
274,41,53,15.0
275,42,3,18.5
276,16,57,18.5
277,60,13,18.5
278,2,15,12.5
279,14,18,15.0
280,25,24,12.5
281,49,16,15.0
282,12,16,12.5
283,6,52,15.0
284,35,27,15.0
285,10,43,15.0
286,34,23,15.0
287,13,58,12.5
288,7,29,18.5
289,28,60,15.0
290,49,16,18.5
291,13,47,15.0
292,42,58,15.0
293,52,4,18.5
294,12,38,18.5
295,5,35,15.0
296,37,36,18.5
297,5,14,12.5
298,58,11,12.5
299,34,11,18.5
300,1,29,18.5
301,3,54,15.0
302,10,1,15.0
303,37,9,12.5
304,29,52,12.5
305,2,24,18.5
306,56,35,18.5
307,21,17,15.0
308,4,55,18.5
309,44,31,15.0
310,43,53,15.0
311,32,54,12.5
312,41,50,12.5
313,12,8,18.5
314,10,25,15.0
315,28,19,15.0
316,44,31,12.5
317,24,20,15.0
318,16,16,12.5
319,10,18,12.5
320,44,31,15.0
321,30,3,18.5
322,6,29,18.5
323,45,33,18.5
324,55,58,15.0
325,37,45,18.5
326,6,42,18.5
327,12,5,15.0
328,19,7,18.5
329,37,1,15.0
330,41,16,12.5
331,50,46,15.0
332,1,3,15.0
333,15,22,15.0
334,31,53,12.5
335,28,28,12.5
336,34,44,12.5
337,17,46,12.5
338,36,29,15.0
339,47,7,18.5
340,59,45,18.5
341,2,52,18.5
342,12,26,12.5
343,11,37,18.5
344,42,6,15.0
345,53,56,12.5
346,48,5,15.0
347,21,13,18.5
348,49,10,12.5
349,49,56,12.5
350,22,21,18.5
351,45,43,12.5
352,39,44,12.5
353,48,43,12.5
354,26,1,15.0
355,46,38,15.0
356,43,54,18.5
357,5,12,15.0
358,21,14,18.5
359,58,25,15.0
360,33,46,18.5
361,5,5,18.5
362,11,8,15.0
363,53,6,12.5
364,26,3,18.5
365,5,41,18.5
366,27,60,18.5
367,39,48,18.5
368,35,5,12.5
369,37,50,18.5
370,36,34,15.0
371,13,50,12.5
372,23,58,18.5
373,41,8,12.5
374,27,13,18.5
375,10,9,12.5
376,27,15,15.0
377,23,41,15.0
378,13,11,12.5
379,53,33,15.0
380,9,9,15.0
381,17,42,15.0
382,60,29,18.5
383,6,13,18.5
384,27,6,12.5
385,20,56,12.5
386,12,27,18.5
387,18,42,12.5
388,28,22,12.5
389,17,6,15.0
390,58,22,18.5
391,59,8,18.5
392,18,56,15.0
393,31,33,15.0
394,55,7,12.5
395,52,12,15.0
396,35,22,12.5
397,54,57,15.0
398,6,50,18.5
399,39,43,12.5
400,40,43,18.5
