id,movie_id,actor_id,role_name
304,57,46,Character 46
305,57,121,Character 121
306,57,80,Character 80
307,57,21,Character 21
308,58,77,Character 77
309,58,91,Character 91
310,58,137,Character 137
311,58,11,Character 11
312,58,10,Character 10
313,58,31,Character 31
314,58,58,Character 58
315,58,36,Character 36
316,59,100,Character 100
317,59,36,Character 36
318,59,145,Character 145
319,60,75,Character 75
320,60,122,Character 122
321,60,80,Character 80
322,60,65,Character 65
323,60,52,Character 52
