ticket_id,booking_id,seat_row,seat_number
356,131,C,15
357,346,C,15
358,967,F,16
359,240,E,1
360,199,C,2
361,22,A,4
362,908,B,20
363,174,B,5
364,120,F,9
365,740,B,11
366,361,A,17
367,35,F,10
368,599,E,5
369,418,C,15
370,62,B,12
371,127,F,7
372,738,C,4
373,807,E,20
374,510,A,7
375,909,C,12
376,835,C,19
377,530,B,2
378,127,E,17
379,716,B,8
380,362,A,12
381,581,F,3
382,800,D,4
383,684,A,7
384,423,E,2
385,231,F,13
386,4,C,9
387,213,C,11
388,804,D,12
389,354,D,12
390,782,E,14
391,849,B,10
392,524,C,19
393,943,B,12
394,127,B,19
395,982,E,5
396,354,B,12
397,220,D,7
398,423,B,6
399,577,C,2
400,309,A,3
401,409,D,18
402,247,E,2
403,692,A,14
404,796,F,1
405,958,E,11
406,17,D,3
407,665,F,16
408,596,A,13
409,120,E,18
410,139,A,7
411,496,E,14
412,523,F,12
413,599,D,2
414,366,A,20
415,553,D,10
416,859,C,8
417,309,A,18
418,965,E,4
419,31,E,17
420,320,D,3
421,373,D,17
422,41,D,10
423,332,A,15
424,113,A,7
425,104,A,10
426,923,D,16
427,199,D,16
428,301,F,13
429,403,A,7
430,528,C,5
431,242,F,6
432,635,C,6
433,780,C,4
434,868,E,19
435,292,D,18
436,170,C,13
437,814,E,1
438,702,B,15
439,27,D,15
440,165,A,10
441,941,B,20
442,648,E,20
443,232,B,4
444,974,A,8
445,768,B,1
446,90,A,3
447,522,A,7
448,994,D,7
449,67,D,19
450,398,B,10
451,338,B,2
452,618,C,1
453,894,A,19
454,427,C,17
455,830,D,11
456,184,C,20
457,686,D,17
458,349,D,15
459,19,A,9
460,326,A,8
461,897,B,5
462,758,A,9
463,41,F,17
464,197,D,18
465,164,E,12
466,721,D,9
467,518,B,5
468,84,C,7
469,400,C,9
470,846,C,17
471,772,A,13
472,244,E,17
473,12,D,5
474,134,B,5
475,692,D,12
476,125,A,19
477,969,C,4
478,453,D,8
479,954,D,4
480,668,B,19
481,269,B,19
482,823,B,17
483,820,C,1
484,18,E,12
485,658,E,9
486,633,E,15
487,729,D,5
488,989,F,13
489,382,D,6
490,544,B,8
491,224,F,9
492,114,C,4
493,464,E,17
494,15,B,11
495,741,D,11
496,877,D,4
497,689,B,2
498,878,C,4
499,454,B,10
500,915,B,6
501,701,E,9
502,997,D,19
503,718,A,6
504,624,C,10
505,212,C,19
506,991,A,6
507,18,D,4
508,404,A,1
509,588,B,2
510,865,A,19
511,822,F,11
512,378,C,19
513,125,E,3
514,421,A,10
515,882,E,9
516,473,A,16
517,303,C,18
518,805,C,16
519,504,E,20
520,2,B,20
521,314,C,9
522,218,C,3
523,110,B,7
524,301,B,10
525,654,B,8
526,762,F,16
527,260,C,1
528,135,D,16
529,230,A,8
530,758,A,18
531,539,C,2
532,787,F,4
533,885,F,8
534,519,A,17
535,616,A,14
536,849,B,1
537,313,D,3
538,504,B,13
539,665,F,5
540,481,C,4
541,144,E,5
542,292,E,15
543,342,C,7
544,456,F,7
545,280,F,16
546,802,A,17
547,230,D,12
548,220,C,10
549,686,E,10
550,226,A,19
551,756,F,17
552,799,E,14
553,444,D,16
554,252,C,13
555,419,E,18
556,438,E,6
557,203,F,8
558,296,A,18
559,50,B,12
560,428,C,14
561,605,E,6
562,241,C,9
563,310,B,19
564,870,A,19
565,567,F,15
566,572,B,5
567,563,E,14
568,525,B,3
569,449,F,8
570,169,A,17
571,611,A,2
572,979,C,11
573,762,A,18
574,714,B,15
575,673,A,20
576,129,E,6
577,853,A,1
578,971,B,19
579,565,B,8
580,391,D,19
581,722,E,14
582,783,B,17
583,439,B,8
584,323,F,5
585,47,A,12
586,473,D,7
587,189,C,3
588,125,B,1
589,848,A,14
590,64,F,15
591,276,E,17
592,756,F,3
593,119,D,13
594,995,F,11
595,17,C,17
596,309,A,20
597,185,B,3
598,623,D,2
599,481,C,13
600,651,F,9
601,582,A,17
602,343,B,7
603,910,B,18
604,720,C,5
605,31,D,13
606,127,E,17
607,414,E,3
608,632,A,12
609,986,A,5
610,460,A,18
611,960,A,20
612,361,F,9
613,138,C,11
614,888,B,18
615,573,F,16
616,114,B,15
617,695,E,4
618,958,B,10
619,687,E,18
620,632,F,5
621,417,D,15
622,560,B,15
623,346,A,18
624,797,A,3
625,624,B,9
626,347,A,14
627,152,E,6
628,92,E,16
629,574,C,19
630,758,D,10
631,964,F,13
632,863,A,3
633,976,E,2
634,390,B,11
635,23,B,9
636,435,F,2
637,10,A,7
638,705,A,20
639,192,F,18
640,573,A,15
641,83,C,9
642,540,A,14
643,356,E,20
644,281,B,20
645,409,B,15
646,591,F,8
647,313,E,6
648,136,B,8
649,521,D,12
650,132,B,14
651,784,B,18
652,802,E,14
653,415,D,19
654,817,B,11
655,584,F,13
656,334,F,10
657,10,C,18
658,194,D,2
659,758,B,8
660,826,F,2
661,750,A,11
662,913,C,4
663,384,F,6
664,468,E,7
665,198,B,10
666,451,D,20
667,914,B,3
668,725,B,14
669,838,A,15
670,497,F,5
671,430,D,10
672,606,F,2
673,221,A,6
674,260,A,5
675,358,A,1
676,267,A,2
677,596,E,9
678,709,B,6
679,581,A,15
680,493,E,7
681,321,E,2
682,975,C,6
683,993,D,7
684,21,E,17
685,722,B,17
686,799,C,18
687,43,B,20
688,736,B,10
689,104,F,12
690,488,C,12
691,688,B,2
692,504,F,5
693,422,B,19
694,18,D,8
695,127,E,12
696,538,D,12
697,992,E,12
698,893,A,2
699,336,E,2
700,559,E,19
701,949,F,15
702,584,B,8
703,476,C,4
704,499,D,12
705,272,D,4
706,622,E,1
707,865,C,10
708,935,B,12
709,465,A,7
710,204,B,11
711,325,F,15
712,475,E,4
713,593,D,8
714,121,A,5
715,634,E,20
716,573,B,13
717,674,B,3
718,43,F,7
719,385,B,7
720,621,B,11
721,68,C,18
722,701,C,20
723,736,F,10
724,227,A,17
725,483,F,20
726,926,A,20
727,151,A,1
728,783,B,2
729,254,A,12
730,670,D,3
731,458,A,4
732,662,C,1
733,403,D,20
734,85,A,17
735,800,B,9
736,213,C,5
737,136,E,5
738,336,A,4
739,460,A,10
740,764,F,12
741,787,D,3
742,849,D,15
743,346,F,17
744,505,B,11
745,615,F,16
746,166,C,19
747,406,F,19
748,651,C,19
749,389,B,13
750,681,F,1
751,946,D,1
752,414,C,20
753,171,D,16
754,874,B,9
755,79,F,6
756,112,F,14
757,25,A,16
758,598,D,14
759,854,A,3
760,94,C,7
761,208,A,1
762,531,D,1
763,687,A,4
764,402,F,8
765,832,F,4
766,438,C,13
767,522,B,8
768,893,E,17
769,806,A,7
770,250,C,8
771,846,F,4
772,357,E,20
773,107,F,9
774,550,D,3
775,780,B,13
776,909,D,4
777,828,B,19
778,105,F,15
779,131,A,6
780,563,D,8
781,557,A,6
782,227,D,9
783,957,B,13
784,719,A,10
785,450,B,14
786,45,D,16
787,303,D,6
788,75,A,18
789,51,A,19
790,29,A,1
791,803,F,12
792,488,E,4
793,262,B,1
794,224,D,20
795,636,B,10
796,481,B,15
797,968,A,14
798,252,E,14
799,291,B,8
800,661,F,12
801,448,F,2
802,201,B,4
803,31,A,5
804,909,C,12
805,736,D,17
806,561,D,15
807,626,E,15
808,749,A,16
809,927,F,8
810,420,E,14
811,67,D,14
812,551,D,20
813,1000,A,18
814,298,C,1
815,432,B,18
816,397,D,17
817,92,A,11
818,565,B,1
819,650,B,15
820,536,C,2
821,25,F,20
822,31,A,14
823,336,C,1
824,182,D,12
825,666,A,13
826,823,A,12
827,639,F,16
828,32,E,9
829,15,D,5
830,610,A,12
831,563,B,13
832,731,B,1
833,21,B,17
834,460,D,10
835,516,B,5
836,448,E,17
837,839,A,12
838,52,E,18
839,170,B,9
840,224,A,19
841,888,E,13
842,989,C,2
843,892,A,6
844,410,D,13
845,256,F,1
846,293,F,12
847,911,A,15
848,777,B,9
849,5,D,3
850,403,E,15
851,752,B,14
852,631,D,14
853,592,E,12
854,595,B,10
855,356,D,11
856,21,C,16
857,847,A,13
858,78,B,18
859,958,B,7
860,268,C,3
861,465,E,1
862,147,D,9
863,776,D,13
864,88,C,4
865,424,F,2
866,313,C,6
867,862,B,20
868,620,B,16
869,891,A,2
870,483,C,15
871,980,E,7
872,683,A,2
873,715,F,18
874,661,E,12
875,583,F,18
876,796,F,5
877,615,D,4
878,205,C,15
879,353,A,17
880,926,C,4
881,872,F,12
882,848,F,18
883,426,D,1
884,486,E,16
885,645,D,14
886,704,C,8
887,890,B,8
888,581,B,6
889,206,D,10
890,189,C,15
891,953,B,18
892,812,A,10
893,128,E,2
894,965,B,8
895,385,B,9
896,259,F,8
897,846,B,4
898,573,B,20
899,910,B,6
900,896,A,10
901,899,F,2
902,246,E,5
903,477,D,7
904,401,D,11
905,649,D,6
906,758,C,16
907,769,E,14
908,568,F,6
909,38,F,4
910,566,C,2
911,485,D,15
912,31,B,13
913,828,A,4
914,357,C,16
915,84,F,2
916,78,C,12
917,727,C,10
918,598,B,13
919,761,F,10
920,165,B,6
921,756,E,19
922,493,E,14
923,756,B,1
924,381,B,5
925,421,D,16
926,418,E,15
927,693,F,19
928,372,B,13
929,573,B,11
930,607,D,6
931,244,C,1
932,11,A,20
933,799,C,16
934,733,F,13
935,874,F,12
936,620,F,5
937,738,D,9
938,293,C,6
939,105,B,18
940,782,C,2
941,604,F,10
942,213,D,1
943,717,F,3
944,618,E,18
945,613,A,7
946,481,F,4
947,721,F,11
948,890,E,8
949,770,D,14
950,280,F,14
951,825,B,12
952,964,C,17
953,516,C,15
954,988,F,8
955,83,D,18
956,99,A,15
957,416,A,14
958,25,A,6
959,852,F,6
960,138,C,9
961,30,E,15
962,913,A,14
963,237,A,3
964,403,C,20
965,938,F,1
966,202,F,1
967,17,B,17
968,423,F,9
969,535,C,16
970,194,F,9
971,768,F,4
972,370,D,20
973,470,E,5
974,92,E,17
975,85,B,18
976,141,D,11
977,224,C,7
978,844,E,2
979,732,D,4
980,729,D,1
981,420,F,2
982,947,A,13
983,707,B,10
984,784,A,12
985,45,B,14
986,851,F,17
987,99,F,11
988,333,F,9
989,373,A,6
990,102,E,5
991,562,B,6
992,70,C,7
993,636,E,20
994,57,B,13
995,155,C,17
996,36,D,5
997,127,D,4
998,658,A,18
999,784,F,10
1000,204,C,8
1001,28,D,2
1002,620,B,2
1003,835,F,19
1004,668,E,13
1005,668,A,11
1006,273,F,8
1007,18,C,5
1008,771,C,15
1009,458,B,20
1010,709,D,17
1011,672,C,1
1012,504,A,12
1013,448,C,8
1014,498,D,15
1015,479,E,15
1016,285,C,1
1017,840,E,18
1018,64,D,16
1019,34,A,1
1020,355,F,6
1021,307,B,2
1022,339,D,19
1023,227,D,12
1024,221,D,19
1025,366,C,2
1026,189,C,13
1027,35,A,10
1028,637,E,7
1029,101,E,1
1030,803,E,9
1031,142,B,4
1032,642,C,7
1033,998,B,4
1034,720,A,17
1035,420,A,18
1036,151,C,18
1037,971,D,10
1038,419,A,13
1039,686,E,10
1040,817,E,4
1041,450,E,15
1042,931,F,1
1043,375,F,17
1044,974,F,17
1045,309,A,19
1046,222,D,15
1047,732,B,13
1048,883,B,9
1049,964,D,14
1050,998,C,4
1051,120,F,18
1052,479,E,11
1053,268,C,9
1054,833,D,10
1055,294,B,11
1056,360,C,20
1057,977,F,10
1058,156,F,3
1059,474,F,20
1060,990,A,8
1061,434,E,9
1062,960,E,8
1063,329,C,12
1064,911,B,19
1065,191,A,9
1066,739,D,14
1067,969,E,15
1068,405,C,16
1069,245,E,4
1070,296,B,11
1071,271,D,8
1072,708,D,20
1073,994,D,2
1074,362,A,12
1075,374,E,11
1076,571,D,17
1077,139,F,11
1078,622,B,20
1079,38,E,4
1080,931,A,6
1081,313,A,13
1082,890,F,8
1083,761,D,17
1084,663,E,10
1085,780,A,19
1086,670,A,3
1087,487,E,19
1088,756,A,2
1089,543,C,12
1090,154,C,17
1091,669,E,17
1092,515,A,1
1093,430,D,7
1094,858,B,14
1095,897,E,18
1096,544,B,7
1097,955,E,14
1098,96,D,2
1099,69,E,19
1100,928,F,5
1101,771,A,4
1102,529,B,16
1103,470,F,16
1104,987,D,8
1105,893,B,2
1106,476,F,3
1107,688,D,10
1108,600,C,12
1109,570,A,12
1110,561,E,8
1111,663,D,2
1112,679,F,3
1113,926,D,20
1114,593,C,7
1115,936,C,18
1116,455,D,1
1117,460,A,1
1118,939,E,10
1119,973,A,18
1120,403,E,2
1121,440,E,16
1122,880,D,6
1123,134,D,9
1124,216,F,14
1125,371,E,8
1126,901,C,5
1127,523,F,15
1128,925,C,11
1129,999,A,6
1130,741,F,19
1131,414,B,19
1132,974,B,12
1133,782,B,10
1134,251,A,11
1135,503,A,7
1136,906,C,2
1137,231,A,5
1138,773,E,8
1139,36,E,12
1140,88,A,11
1141,736,B,6
1142,475,D,8
1143,960,B,12
1144,242,D,20
1145,975,A,15
1146,415,B,9
1147,449,B,8
1148,876,C,5
1149,808,B,4
1150,456,F,8
1151,301,B,8
1152,329,F,4
1153,324,F,12
1154,487,E,10
1155,856,A,17
1156,743,A,3
1157,180,C,4
1158,402,D,20
1159,898,F,5
1160,987,F,10
1161,120,F,5
1162,274,E,1
1163,1000,E,11
1164,259,D,5
1165,384,A,18
1166,26,C,19
1167,832,B,15
1168,879,A,13
1169,801,C,16
1170,574,E,18
1171,780,C,1
1172,72,E,14
1173,470,F,13
1174,345,E,15
1175,289,F,5
1176,788,D,13
1177,248,B,14
1178,758,E,4
1179,201,D,2
1180,990,F,11
1181,522,B,2
1182,3,B,14
1183,43,D,7
1184,28,A,2
1185,439,B,5
1186,552,C,1
1187,39,D,7
1188,96,D,2
1189,230,A,6
1190,589,C,5
1191,591,B,10
1192,549,E,7
1193,226,E,19
1194,588,E,5
1195,281,C,12
1196,159,A,2
1197,669,B,17
1198,6,D,17
1199,841,B,9
1200,553,B,15
1201,453,D,3
1202,593,A,20
1203,140,D,15
1204,774,B,2
1205,408,D,6
1206,129,C,1
1207,854,A,3
1208,115,E,11
1209,189,A,11
1210,276,D,17
1211,857,A,5
1212,738,F,3
1213,364,A,3
1214,574,D,14
1215,544,D,2
1216,795,E,5
1217,761,C,2
1218,261,D,14
1219,189,A,9
1220,386,D,7
1221,975,C,11
1222,372,C,16
1223,875,F,5
1224,14,A,15
1225,300,B,4
1226,387,E,5
1227,955,B,13
1228,638,E,5
1229,55,D,13
1230,67,A,14
1231,79,A,14
1232,87,C,2
1233,965,D,2
1234,781,C,7
1235,8,D,11
1236,439,D,16
1237,776,F,5
1238,500,E,20
1239,546,D,19
1240,26,D,6
1241,110,D,3
1242,830,E,20
1243,485,C,2
1244,501,C,15
1245,59,A,18
1246,750,E,17
1247,267,A,1
1248,563,C,7
1249,941,A,16
1250,688,C,11
1251,782,E,18
1252,783,D,20
1253,27,B,5
1254,65,D,8
1255,710,B,15
1256,541,D,7
1257,799,B,20
1258,58,C,6
1259,745,F,19
1260,559,E,8
1261,563,D,3
1262,374,F,13
1263,628,E,3
1264,250,C,20
1265,969,B,10
1266,260,E,4
1267,247,B,3
1268,551,D,5
1269,808,A,20
1270,149,F,4
1271,70,A,6
1272,558,E,17
1273,557,D,4
1274,114,D,9
1275,380,D,10
1276,996,F,16
1277,864,B,2
1278,965,E,4
1279,648,E,20
1280,268,C,12
1281,665,E,15
1282,803,E,2
1283,442,F,4
1284,867,F,10
1285,799,F,19
1286,448,B,13
1287,44,A,17
1288,180,F,1
1289,891,B,7
1290,332,D,5
1291,43,F,12
1292,103,C,20
1293,861,D,6
1294,537,A,10
1295,625,F,15
1296,16,A,2
1297,434,C,1
1298,175,E,3
1299,205,D,4
1300,103,F,3
1301,645,F,17
1302,834,C,11
1303,187,E,8
1304,480,E,18
1305,338,E,1
1306,127,A,8
1307,184,C,20
1308,817,F,8
1309,433,E,13
1310,260,E,8
1311,987,C,6
1312,268,C,9
1313,494,B,9
1314,630,F,17
1315,348,F,1
1316,852,A,8
1317,405,F,4
1318,676,C,19
1319,397,C,2
1320,992,B,5
1321,613,D,1
1322,775,F,17
1323,460,A,17
1324,580,C,9
1325,574,A,7
1326,43,D,13
1327,606,B,7
1328,59,A,12
1329,709,A,9
1330,455,C,6
1331,775,D,10
1332,988,C,17
1333,24,E,17
1334,808,C,5
1335,94,A,6
1336,214,B,2
1337,346,C,14
1338,496,A,16
1339,498,E,17
1340,751,D,8
1341,227,A,1
1342,919,C,19
1343,155,E,1
1344,572,F,6
1345,58,C,14
1346,228,E,12
1347,184,F,4
1348,444,C,12
1349,773,B,5
1350,627,A,7
1351,27,A,17
1352,920,D,17
1353,285,D,15
1354,238,F,20
1355,683,F,10
1356,729,C,2
1357,248,C,4
1358,331,D,19
1359,64,E,10
1360,930,E,16
1361,970,C,1
1362,411,C,1
1363,13,B,19
1364,31,E,14
1365,812,A,9
1366,741,B,10
1367,755,A,5
1368,881,F,12
1369,442,A,2
1370,902,C,5
1371,185,B,15
1372,199,B,6
1373,763,E,3
1374,925,A,16
1375,238,F,12
1376,898,D,17
1377,761,A,6
1378,661,B,8
1379,228,B,12
1380,459,F,11
1381,2,E,16
1382,79,B,20
1383,655,D,12
1384,301,E,2
1385,625,D,13
1386,699,E,20
1387,569,D,17
1388,808,B,8
1389,333,F,20
1390,362,B,10
1391,463,C,19
1392,191,E,12
1393,501,E,11
1394,444,E,18
1395,400,E,5
1396,402,E,2
1397,215,A,18
1398,578,D,20
1399,470,B,16
1400,126,C,4
1401,979,C,17
1402,448,D,10
1403,282,E,11
1404,26,E,17
1405,215,F,11
1406,900,E,6
1407,740,B,10
1408,887,E,13
1409,882,D,14
1410,321,C,8
1411,449,C,7
1412,450,E,12
1413,715,E,5
1414,331,B,9
1415,558,C,20
1416,158,F,10
1417,254,D,17
1418,695,D,16
1419,600,B,18
1420,938,E,1
1421,407,F,12
1422,213,C,19
1423,499,B,20
1424,504,F,8
1425,569,E,12
1426,570,F,17
1427,513,C,16
1428,3,D,3
1429,104,A,7
1430,461,C,4
1431,758,A,11
1432,185,D,2
1433,468,E,7
1434,481,B,7
1435,522,D,13
1436,255,C,6
1437,196,D,14
1438,730,A,8
1439,674,F,8
1440,458,B,14
1441,130,B,4
1442,267,E,10
1443,947,C,12
1444,777,A,13
1445,391,D,12
1446,767,A,11
1447,417,E,17
1448,740,A,18
1449,390,D,4
1450,783,C,2
1451,277,F,11
1452,562,D,13
1453,882,E,15
1454,44,C,13
1455,991,E,17
1456,8,D,10
1457,535,E,12
1458,160,F,13
1459,141,B,16
1460,523,C,9
1461,579,F,19
1462,151,B,5
1463,888,E,3
1464,245,D,19
1465,878,F,4
1466,214,F,3
1467,320,E,15
1468,445,E,10
1469,608,C,10
1470,812,D,14
1471,51,B,13
1472,701,E,8
1473,194,A,15
1474,550,E,9
1475,855,B,20
1476,354,B,2
1477,71,F,18
1478,582,E,12
1479,694,E,13
1480,312,F,15
1481,76,F,14
1482,688,D,19
1483,617,C,8
1484,273,A,8
1485,657,E,7
1486,366,D,15
1487,700,A,9
1488,368,A,5
1489,984,F,17
1490,974,A,13
1491,742,F,9
1492,342,F,17
1493,737,E,1
1494,336,D,8
1495,66,F,7
1496,777,C,16
1497,324,F,14
1498,563,A,1
1499,995,A,7
1500,546,F,10
1501,700,F,4
1502,97,D,11
1503,276,A,15
1504,613,B,6
1505,790,B,20
1506,963,E,20
1507,923,B,20
1508,918,D,8
1509,780,D,2
1510,300,C,7
1511,454,B,3
1512,842,C,7
1513,602,A,7
1514,600,A,5
1515,535,D,1
1516,785,A,12
1517,836,F,14
1518,987,F,10
1519,572,C,5
1520,490,E,15
1521,575,C,16
1522,314,A,16
1523,268,B,5
1524,102,F,19
1525,852,E,16
1526,997,C,5
1527,668,A,1
1528,552,A,6
1529,264,B,7
1530,439,D,8
1531,409,B,2
1532,720,D,8
1533,538,D,6
1534,525,F,18
1535,698,B,11
1536,634,E,18
1537,874,D,18
1538,318,E,15
1539,866,B,15
1540,972,C,19
1541,191,A,19
1542,688,B,4
1543,940,D,19
1544,790,D,4
1545,521,D,13
1546,825,F,1
1547,466,F,18
1548,973,A,4
1549,580,C,10
1550,99,E,15
1551,210,C,12
1552,27,A,15
1553,217,D,7
1554,204,C,12
1555,985,E,14
1556,952,F,16
1557,838,F,9
1558,16,B,18
1559,997,A,11
1560,398,A,8
1561,32,D,11
1562,677,F,12
1563,444,D,14
1564,392,D,5
1565,129,D,8
1566,547,D,3
1567,158,A,20
1568,110,C,12
1569,906,F,10
1570,951,B,17
1571,194,E,12
1572,132,C,16
1573,8,C,4
1574,737,E,7
1575,207,C,12
1576,422,B,2
1577,703,F,18
1578,715,C,9
1579,826,F,8
1580,684,C,17
1581,936,C,8
1582,459,B,15
1583,30,F,2
1584,68,E,18
1585,510,F,18
1586,148,E,5
1587,403,B,7
1588,907,C,10
1589,918,D,12
1590,66,C,7
1591,13,C,14
1592,799,D,6
1593,24,B,20
1594,824,F,2
1595,589,C,19
1596,280,C,5
1597,999,F,12
1598,853,C,20
1599,605,B,2
1600,885,F,9
1601,717,A,17
1602,980,A,16
1603,942,D,2
1604,26,E,18
1605,365,C,13
1606,981,F,16
1607,43,A,12
1608,383,C,15
1609,613,D,7
1610,889,A,11
1611,254,A,18
1612,860,D,14
1613,562,C,3
1614,39,B,3
1615,720,D,16
1616,404,D,11
1617,874,D,4
1618,709,B,14
1619,821,F,16
1620,65,F,17
1621,502,E,2
1622,709,F,10
1623,353,A,15
1624,222,D,16
1625,404,B,13
1626,201,F,7
1627,841,C,19
1628,680,E,1
1629,153,F,13
1630,619,E,8
1631,845,F,10
1632,140,A,11
1633,598,E,14
1634,152,D,5
1635,592,E,13
1636,103,A,7
1637,416,B,10
1638,812,B,14
1639,335,E,19
1640,95,B,14
1641,20,C,6
1642,407,C,6
1643,772,E,16
1644,14,B,2
1645,430,A,9
1646,809,B,4
1647,315,B,13
1648,157,D,16
1649,103,B,14
1650,371,A,7
1651,959,F,10
1652,224,B,18
1653,568,F,9
1654,419,C,19
1655,949,D,14
1656,626,C,16
1657,587,D,17
1658,799,E,11
1659,160,F,13
1660,646,D,16
1661,486,F,16
