video_id,total_views,total_likes,total_comments,watch_time_hours
167,9172424,388697,27155,25805.12
168,5080783,381085,49211,29910.73
169,4800191,376088,41409,66896.11
170,1250118,372622,36047,38652.49
171,2404469,111210,17051,65814.26
172,8333024,349215,43474,57826.58
173,4004938,136231,3065,71785.53
174,2583722,459753,41146,161.77
175,5710992,363218,3640,31279.51
176,3768927,202906,47198,6229.93
177,1924851,282263,18318,10733.23
178,4394543,170274,16503,36532.05
179,4972208,279483,44438,47511.03
180,8066800,459972,31919,79422.3
181,2059708,202333,40609,2005.85
182,8099056,461308,48965,72769.37
183,114061,322028,1707,26749.16
184,9711795,104472,27690,64981.79
185,2005468,46062,45950,98040.44
186,124184,29923,39868,67945.52
187,118004,378363,29530,74390.95
188,7473714,171188,3269,38452.96
189,5415546,464150,44677,69683.68
190,8065609,192295,16075,52804.66
191,7954572,218208,47080,37938.01
192,5507024,6040,42192,17952.82
193,7245152,240769,38099,95765.92
194,4890856,18906,23951,13937.41
195,3990740,191081,34326,19930.16
196,6042031,155360,28271,80217.07
197,2081260,25193,30898,22830.22
198,7623897,27168,383,4762.17
199,5244641,442077,23862,7208.75
200,1753419,10984,44252,45827.25
201,7205301,307051,29455,68420.63
202,7143070,405144,44913,73509.91
203,5828322,431030,8662,51494.12
204,3138651,157526,32918,492.07
205,8392595,269967,15070,88276.06
206,6473631,208191,24174,86321.22
207,3007784,160726,38558,11074.46
208,4109485,114201,28886,13507.21
209,7352154,153695,29655,31015.98
210,2421260,38195,5294,62368.33
211,5425728,77401,8784,34215.17
212,9849678,421299,38343,71099.16
213,4474378,335850,18933,5566.11
214,5074037,445472,8622,52895.36
215,5161189,394390,13330,99539.32
216,4190724,281218,22431,53064.6
217,813893,169144,45546,39259.62
218,6973570,283930,33258,8832.79
219,5430239,56088,16394,40603.65
220,2128262,117607,44569,11991.63
221,1623973,75977,28209,22670.83
222,9685629,236649,16488,60254.67
223,5423450,425609,8254,1747.41
224,7171695,285672,6437,73682.46
225,5095392,65179,3331,10464.91
226,8938428,232221,9042,7970.57
227,1545403,203904,29049,32750.93
228,6052262,474571,71,75981.93
229,5137472,370484,29379,3285.75
230,7070087,224165,47278,49584.46
231,120466,119023,2225,29449.02
232,5684432,91153,6693,70877.81
233,1774913,28733,46710,22107.73
234,9006827,191068,35771,53641.09
235,359206,370622,17640,93559.6
236,8181743,67285,30063,67746.85
237,6058219,217837,18186,61372.8
238,9274182,354589,37962,78390.46
239,2523930,356927,8428,80453.59
240,2981971,221474,26700,30742.34
241,178259,54638,8066,23803.47
242,3398569,205982,10558,91382.24
243,5558918,489067,29641,93548.67
244,8828890,422244,9897,95411.67
245,2954238,195945,21136,97198.71
246,2102762,493475,18812,28191.58
247,3821479,267092,38306,70351.02
248,6446376,340404,48708,2989.11
249,5431638,223951,42316,76313.43
250,7894286,209423,1371,82007.57
251,5621718,182101,26864,25191.77
252,841049,87539,25213,84339.84
253,7467646,345834,19804,53877.89
254,6653773,495851,38899,59649.92
255,6079833,403522,18537,83205.37
256,4620997,491062,26143,96943.27
257,1266610,281960,36257,20495.58
258,850375,176186,35355,95814.92
259,5860535,252547,38367,23805.7
260,6671356,152003,14513,56751.67
261,9343107,313235,47941,13431.85
262,8163702,311668,30682,65650.24
263,1475999,493501,41830,82055.04
264,3970431,118741,38094,86339.34
265,5886279,138923,21866,50963.88
266,7627248,341053,11363,90612.17
267,6103852,398073,33902,16781.17
268,7362350,382940,12425,66012.84
269,1581544,42887,17338,68087.41
270,4582214,449520,12,46184.98
271,3933453,57710,49408,68223.59
272,9897018,294751,42135,63097.8
273,4824491,346910,10834,2968.08
274,6908089,284171,12295,18392.46
275,9299322,364671,36290,3340.29
276,2969107,329338,46358,48745.26
277,989766,47614,1297,81102.02
278,7529851,268622,48270,13578.99
279,4034611,387602,36940,77039.9
280,9799268,355803,9720,18225.26
281,4826572,136648,18347,24037.07
282,9976416,394379,39281,50616.96
283,7500486,227645,41827,13065.59
284,1447785,104154,47084,47824.78
285,3036306,296909,47438,52057.58
286,8252462,129605,4536,58531.53
287,4547462,291768,40978,49310.41
288,6028864,394003,7628,46047.43
289,161919,415399,11811,97370.02
290,2905734,327726,10424,25651.53
291,7817974,257753,9667,38495.23
292,9295337,222595,44882,69224.16
293,6308254,366624,27412,5689.98
294,8637899,479584,29073,2205.47
295,9820432,182073,31462,22156.4
296,6286151,58743,30448,80692.75
297,6706675,26934,47204,17828.48
298,1443292,22594,1709,81811.24
299,8183408,100843,16734,40608.26
300,462485,479224,3933,61848.86
301,5021481,352027,45269,92715.03
302,2389926,29741,12845,23609.72
303,2675930,197354,45718,90094.68
304,6018311,382811,25489,1077.72
305,3431850,393465,23898,38121.8
306,8295836,216594,46981,61885.18
307,2083631,304641,11472,1474.94
308,5812510,465163,13804,83285.41
309,7245518,298589,22592,50779.83
310,434665,161980,26510,52961.45
311,1756286,230625,345,6332.02
312,4656054,53880,24510,39095.46
313,7859789,144725,19141,17262.26
314,4548103,330560,7795,73303.0
315,1593277,88857,29934,3299.37
316,8329359,247908,48145,98243.95
317,6824190,35431,15441,66780.71
318,359085,422372,48486,52288.17
319,2490128,309088,48745,12616.07
320,8544306,115963,1651,88246.34
321,2882483,205499,8729,77294.84
322,7734210,357543,44532,28965.29
323,1039528,188507,37124,71344.65
324,6068470,400464,49762,26858.82
325,573289,391096,21956,14671.04
326,8576499,75348,48916,59939.22
327,3349675,207343,15246,12878.34
328,1353243,94261,27475,11242.35
329,5772047,100613,19850,54810.06
330,5757567,70761,14814,44811.31
331,5085572,354750,45349,8340.09
332,6272496,27737,31958,87800.52
333,4097528,249987,19718,1705.34
334,5586085,254506,5309,65416.3
335,8104166,173644,21675,55878.35
336,5692645,323604,33827,31316.31
337,2795994,305293,27638,52566.11
338,8936827,14319,6423,12748.24
339,3705157,282085,24868,6365.08
340,7716493,466391,48999,50874.7
341,3559681,154372,23574,7033.38
342,7544120,165658,31215,20451.99
343,2204705,159822,35398,76189.33
344,1672827,304755,37390,19319.34
345,2136740,92998,12637,20710.89
346,8164061,276060,28556,72821.03
347,9153894,95108,44170,20678.57
348,8348368,273644,22759,98850.84
349,6752690,170132,37431,49946.13
350,8658093,33644,20154,16419.43
351,5937159,314315,27408,39761.07
352,9847847,132650,23696,57125.3
353,1523575,267719,32095,88629.16
354,8387481,37181,34129,62108.45
355,7067988,491630,35576,24423.49
356,8606723,284253,12847,60513.36
357,3665485,381269,39296,68614.23
358,6472938,26877,11608,96098.37
359,7483013,176797,21398,17227.97
360,684275,378361,36655,24341.46
361,1506891,306505,10646,34284.16
362,5075153,134293,37625,29747.6
363,7621352,408216,20783,99513.95
364,6046964,104110,32838,23796.63
365,2042873,62251,14088,29103.15
366,3838148,25067,33389,74039.76
367,5742683,343146,36661,10184.48
368,9896525,325370,32519,91466.25
369,4485777,402221,13230,55647.23
370,916758,340038,32878,72532.37
371,465547,145994,10773,1836.36
372,6168472,164252,30489,12214.21
373,4322879,204325,29006,13679.71
374,9932404,392571,31507,5842.68
375,7411872,298968,21050,67411.69
376,6002138,456172,6648,60857.88
377,3601238,240246,9041,66719.3
378,9577673,288151,38730,444.31
379,4411310,303122,44662,89695.48
380,4479433,388809,41613,68652.2
381,2375016,168335,16389,93237.99
382,8463768,35005,22747,83510.89
383,7589454,358234,6537,76794.75
384,7011731,43725,35673,55981.05
385,979821,217107,49184,49467.43
386,833058,30892,20363,57564.85
387,8685236,262273,8669,56438.33
388,3255916,276767,24162,76307.23
389,8928882,325638,29155,69928.46
390,6958017,235656,736,86246.67
391,4255094,175597,38305,75034.55
392,6313910,240914,4019,57758.26
393,8364750,398750,35463,36578.32
394,8186016,104377,736,72343.2
395,8454262,389561,49395,48602.9
396,8632035,264104,17508,31329.95
397,3708310,482987,16841,96920.74
398,8917460,181183,41818,51777.52
399,9902230,187101,24533,29490.21
400,233377,348850,29394,41175.91
401,8467513,154923,23353,69045.63
402,3530369,477465,10934,51456.36
403,4240248,64671,31009,22075.93
404,913163,123997,16279,54083.53
405,9004975,425851,39563,78513.69
406,5407335,378368,23771,23.63
407,6424755,11233,33302,6945.33
408,3718363,204688,14661,60320.68
409,5404535,262231,35993,1655.21
410,1637696,321676,27892,4307.14
411,4017669,175799,13181,93468.88
412,5561736,171785,36449,21949.45
413,214740,335209,48375,88748.9
414,2632223,452122,33691,74144.17
415,1536135,97358,9764,73456.93
416,4107819,128046,44974,52631.02
417,7761000,456198,1289,58134.48
418,34521,170597,34529,58355.1
419,9487993,365163,33996,68905.77
420,4713884,470947,28032,89415.89
421,1064771,220972,12835,30763.26
422,3858487,100331,16938,66507.77
423,4984589,15133,3682,23279.26
424,2046602,196433,46855,42792.18
425,3253658,390534,9791,15784.02
426,5095205,16731,30663,1331.3
427,3816492,218591,16439,46944.18
428,4564580,169751,7646,12418.84
429,515483,245755,23537,69491.64
430,7708117,127027,12643,94454.09
431,8411322,325598,5147,8588.83
432,829955,354381,43965,47453.06
433,4470364,494540,25706,28528.17
434,5768576,222130,35061,47341.43
435,9860252,330273,19082,44343.04
436,303785,280786,8558,78230.17
437,1826585,443484,10763,10406.84
438,5415614,169634,20661,84643.06
439,6939833,65163,10991,65525.24
440,5884596,206598,30629,24881.91
441,6560924,494569,47988,15220.22
442,78678,197976,43524,71714.29
443,3164097,56301,13809,82708.04
444,6764095,372552,1831,60545.6
445,8683418,26419,44579,42433.73
446,8846856,303029,4873,37729.42
447,6021799,259176,6179,98230.41
448,9624687,172263,39237,23857.93
449,2040929,41165,5477,45559.98
450,7703996,27095,1604,98754.61
451,7902422,82574,44084,58146.29
452,5728482,297667,23242,93044.62
453,9425332,363221,25090,35022.02
454,3255620,301960,47960,66662.66
455,3211714,340957,49751,18993.7
456,5792223,12230,49918,68356.35
457,4871224,482649,47550,30282.25
458,892391,301757,21931,24550.76
459,4841518,184506,2056,52812.37
460,4522780,58441,7802,31490.21
461,9000415,109386,12322,26649.54
462,8661407,170780,43580,91118.42
463,3281489,51531,28853,83700.78
464,2267346,463516,14546,55232.14
465,8087168,122943,22074,35926.75
466,7921153,140978,20862,71001.01
467,6075194,329872,3246,12186.16
468,5276548,168399,13587,44148.66
469,5745084,250921,13130,15671.88
470,6350856,133882,10142,41317.85
471,5540160,344878,28420,92009.5
472,9303265,101809,37422,65014.61
473,8544275,1449,21867,13517.05
474,4077228,345504,10440,78381.01
475,8466630,82810,14914,92037.89
476,4771591,480107,8835,95869.48
477,4658211,438761,18356,68250.61
478,5732124,401991,46069,34145.37
479,169270,378965,36795,40065.4
480,1775064,344681,24250,833.27
481,8855074,110833,28870,99104.22
482,6141526,251976,10213,69200.9
483,7705639,217326,47646,35461.01
484,4057391,410057,7637,52713.57
485,1473108,318042,16232,53102.87
486,4151760,23460,7653,67525.08
487,5258596,33369,47965,82135.37
488,1924869,436556,19740,60068.01
489,5876450,65840,16289,55756.92
490,5064714,438579,15166,87007.86
491,1084022,163424,37550,11235.87
492,2230302,100779,5583,73827.15
493,5125660,447880,569,7727.66
494,2345874,495781,24020,3062.14
495,9413136,355790,14635,30252.4
496,6917961,404394,39551,39173.59
497,9086916,78293,28660,98665.88
498,5031726,464679,6126,49855.81
499,6097630,169534,22517,6930.16
500,8170617,215758,1277,37661.43
