revenue_id,video_id,date,ad_impressions,cpm_usd,revenue_earned_usd
76,24,2024-02-19,15941,11.88,189.38
77,24,2024-03-08,23241,10.29,239.15
78,24,2024-03-25,19478,11.97,233.15
79,24,2024-03-17,27397,10.71,293.42
80,24,2024-03-15,35903,8.46,303.74
81,25,2024-02-02,32927,5.29,174.18
82,25,2024-01-03,12831,2.84,36.44
83,26,2024-02-03,17512,9.38,164.26
84,27,2024-02-25,31836,11.35,361.34
85,28,2024-03-08,31209,3.07,95.81
86,28,2024-03-29,23868,10.79,257.54
87,28,2024-02-13,8616,6.41,55.23
88,28,2024-02-05,7667,3.58,27.45
89,29,2024-01-09,30441,9.59,291.93
90,29,2024-02-21,30874,5.31,163.94
91,29,2024-02-25,28191,6.25,176.19
92,29,2024-03-13,36173,7.11,257.19
93,30,2024-01-13,23386,8.84,206.73
94,30,2024-03-20,47723,10.99,524.48
95,30,2024-01-12,45621,9.44,430.66
96,30,2024-02-07,27590,6.44,177.68
97,31,2024-02-24,30838,3.16,97.45
98,31,2024-03-30,12563,3.82,47.99
99,32,2024-02-01,37622,11.42,429.64
100,32,2024-02-19,4157,2.55,10.6
101,32,2024-01-31,16982,10.96,186.12
102,33,2024-03-02,48938,4.99,244.2
103,33,2024-01-19,7282,9.13,66.48
104,33,2024-01-21,15988,2.55,40.77
105,33,2024-03-26,34833,10.22,355.99
106,33,2024-01-11,29374,9.56,280.82
107,34,2024-01-29,33270,11.24,373.95
108,34,2024-02-14,23409,5.93,138.82
109,34,2024-03-21,8315,6.24,51.89
110,34,2024-02-07,6226,4.73,29.45
111,35,2024-01-09,17596,3.25,57.19
112,36,2024-03-04,17583,8.59,151.04
113,36,2024-03-22,2886,11.16,32.21
114,37,2024-02-07,23117,6.24,144.25
115,37,2024-03-16,19795,8.25,163.31
116,37,2024-02-12,16197,4.2,68.03
117,37,2024-02-28,45937,8.66,397.81
118,37,2024-02-13,46910,5.57,261.29
119,38,2024-03-04,14643,3.06,44.81
120,38,2024-02-01,47733,7.03,335.56
121,38,2024-03-25,48185,5.1,245.74
122,38,2024-03-26,20290,5.06,102.67
123,39,2024-02-29,8556,8.47,72.47
124,39,2024-02-02,32023,8.67,277.64
125,39,2024-02-07,17516,6.38,111.75
126,39,2024-03-25,25267,3.58,90.46
127,40,2024-02-11,17154,4.52,77.54
128,41,2024-02-13,26118,3.43,89.58
129,41,2024-02-17,5604,11.51,64.5
130,41,2024-01-22,1032,8.53,8.8
131,41,2024-01-16,4405,9.52,41.94
132,41,2024-02-15,12194,9.27,113.04
133,42,2024-02-18,41875,3.28,137.35
134,43,2024-02-24,28677,3.5,100.37
135,43,2024-02-07,1107,10.36,11.47
136,44,2024-03-08,24496,7.13,174.66
137,45,2024-03-22,12010,8.02,96.32
138,46,2024-02-03,6904,6.17,42.6
139,46,2024-02-08,6051,6.52,39.45
140,46,2024-01-07,28479,10.8,307.57
141,46,2024-03-16,41258,4.31,177.82
142,46,2024-01-18,22652,3.86,87.44
143,47,2024-02-24,48832,6.41,313.01
144,48,2024-03-02,43050,10.16,437.39
145,48,2024-02-23,16711,10.45,174.63
146,48,2024-03-16,15672,2.94,46.08
147,48,2024-03-24,21621,4.89,105.73
148,49,2024-03-12,14669,6.91,101.36
149,49,2024-02-28,37705,11.63,438.51
150,49,2024-02-21,37227,5.72,212.94
151,50,2024-01-08,22578,3.52,79.47
152,50,2024-03-24,9735,11.54,112.34
153,50,2024-03-20,37168,3.92,145.7
154,51,2024-03-12,18062,8.39,151.54
155,51,2024-03-30,34931,5.99,209.24
156,52,2024-01-16,41206,5.2,214.27
157,52,2024-02-24,36924,7.78,287.27
158,52,2024-03-31,27550,3.61,99.46
159,52,2024-02-14,46444,3.42,158.84
160,52,2024-03-10,3218,8.48,27.29
161,53,2024-03-25,35031,5.88,205.98
162,53,2024-03-20,44967,11.37,511.27
163,53,2024-03-01,47848,4.57,218.67
164,54,2024-01-28,12245,4.31,52.78
165,54,2024-03-11,21093,8.48,178.87
166,55,2024-03-25,4579,3.34,15.29
167,55,2024-02-11,33407,10.71,357.79
168,55,2024-01-01,39329,6.01,236.37
169,56,2024-01-04,2792,10.23,28.56
170,56,2024-02-10,4048,9.2,37.24
171,57,2024-02-15,20812,10.31,214.57
172,57,2024-03-07,25436,8.24,209.59
173,57,2024-03-20,23781,3.2,76.1
174,58,2024-03-22,18468,7.57,139.8
175,58,2024-02-14,31066,10.08,313.15
176,58,2024-02-07,6907,7.3,50.42
177,58,2024-01-25,25545,10.52,268.73
178,59,2024-03-06,19514,10.32,201.38
179,59,2024-03-14,33979,6.59,223.92
180,59,2024-03-19,4569,11.6,53.0
181,59,2024-02-15,4207,9.67,40.68
182,59,2024-03-02,36155,5.03,181.86
183,60,2024-01-24,40411,2.52,101.84
184,60,2024-01-07,39419,6.66,262.53
185,61,2024-03-18,2318,9.53,22.09
186,61,2024-03-14,43835,8.55,374.79
187,61,2024-01-01,2651,7.15,18.95
188,61,2024-03-14,22473,10.57,237.54
189,62,2024-01-22,31962,11.13,355.74
190,62,2024-02-04,40979,5.48,224.56
191,62,2024-01-04,32100,9.62,308.8
192,63,2024-02-07,40635,6.72,273.07
193,64,2024-03-23,24287,9.1,221.01
194,64,2024-01-26,47529,2.81,133.56
195,65,2024-03-31,6302,7.02,44.24
196,65,2024-02-18,40813,4.31,175.9
197,65,2024-02-06,18184,8.5,154.56
198,66,2024-01-17,26744,9.25,247.38
199,66,2024-01-22,5000,8.86,44.3
200,66,2024-03-11,24035,8.27,198.77
201,67,2024-02-03,13555,8.56,116.03
202,68,2024-01-24,30518,10.47,319.52
203,69,2024-03-13,38814,9.13,354.37
204,69,2024-02-20,13410,3.68,49.35
205,69,2024-02-11,28825,10.19,293.73
206,70,2024-01-14,14651,10.63,155.74
207,71,2024-03-06,38449,5.07,194.94
208,71,2024-01-12,48485,5.51,267.15
209,71,2024-02-26,24548,3.07,75.36
210,71,2024-02-22,39544,7.29,288.28
211,72,2024-03-30,7668,4.88,37.42
212,72,2024-02-26,48495,4.61,223.56
213,73,2024-01-14,11285,11.72,132.26
214,73,2024-01-18,15192,3.35,50.89
215,73,2024-03-27,7156,6.34,45.37
216,73,2024-01-19,30826,7.79,240.13
217,74,2024-03-31,35324,11.19,395.28
218,74,2024-02-25,25085,5.78,144.99
219,74,2024-02-25,1549,11.67,18.08
220,74,2024-03-08,48208,8.82,425.19
221,75,2024-02-25,18429,9.65,177.84
222,75,2024-01-15,46459,11.77,546.82
223,76,2024-01-20,40924,3.57,146.1
224,76,2024-03-20,14360,3.61,51.84
225,77,2024-02-03,18230,6.43,117.22
226,77,2024-03-06,48202,8.63,415.98
227,77,2024-03-01,24079,5.05,121.6
228,77,2024-03-18,17261,8.26,142.58
229,78,2024-03-13,21867,7.05,154.16
230,79,2024-02-26,41365,8.97,371.04
231,80,2024-03-14,36693,8.34,306.02
232,80,2024-01-30,3387,4.02,13.62
233,80,2024-03-15,33835,11.73,396.88
234,80,2024-03-18,8482,7.13,60.48
235,81,2024-01-12,4237,9.15,38.77
236,82,2024-02-10,33153,6.76,224.11
237,83,2024-03-03,39741,11.81,469.34
238,83,2024-03-09,38571,9.04,348.68
239,83,2024-03-30,49886,6.04,301.31
240,83,2024-02-09,5816,7.18,41.76
241,83,2024-03-17,42116,9.65,406.42
242,84,2024-02-20,37499,3.17,118.87
243,85,2024-01-30,44288,6.34,280.79
244,85,2024-03-20,4763,10.15,48.34
245,86,2024-02-25,15422,4.06,62.61
246,86,2024-03-22,49412,5.99,295.98
247,86,2024-03-30,29272,6.36,186.17
248,87,2024-03-22,27865,7.81,217.63
249,87,2024-02-10,37684,2.9,109.28
250,87,2024-03-12,10245,6.59,67.51
251,87,2024-01-10,15963,9.77,155.96
252,87,2024-03-24,10221,3.85,39.35
253,88,2024-03-25,21282,7.94,168.98
254,88,2024-03-08,40351,11.42,460.81
255,88,2024-01-11,28775,3.25,93.52
256,88,2024-03-19,6985,9.37,65.45
257,89,2024-02-13,34422,3.9,134.25
258,90,2024-01-05,12159,10.34,125.72
259,90,2024-03-11,26265,4.75,124.76
260,90,2024-02-20,18958,5.18,98.2
261,90,2024-01-06,29892,9.5,283.97
262,90,2024-03-24,16571,11.39,188.74
263,91,2024-02-09,49530,4.44,219.91
264,92,2024-03-16,35856,5.81,208.32
265,93,2024-03-31,48625,8.08,392.89
266,94,2024-03-13,39989,11.88,475.07
267,94,2024-02-04,15550,4.65,72.31
268,94,2024-01-21,17751,10.45,185.5
269,94,2024-03-31,17696,5.6,99.1
270,95,2024-03-08,48848,6.46,315.56
271,95,2024-01-24,30330,4.93,149.53
272,95,2024-03-28,34067,5.37,182.94
273,95,2024-02-13,10954,11.45,125.42
274,95,2024-02-14,15509,10.06,156.02
275,96,2024-02-13,43084,11.52,496.33
276,96,2024-01-21,43085,2.62,112.88
277,96,2024-02-27,47230,3.88,183.25
278,97,2024-02-06,36638,8.1,296.77
279,97,2024-01-12,13488,5.25,70.81
280,97,2024-02-16,35983,4.2,151.13
281,97,2024-03-04,41485,4.79,198.71
282,98,2024-03-17,14669,2.75,40.34
283,98,2024-03-09,8470,11.83,100.2
284,98,2024-02-29,27029,10.53,284.62
285,98,2024-01-19,11963,6.06,72.5
286,98,2024-01-03,44835,8.9,399.03
287,99,2024-02-15,26426,6.6,174.41
288,100,2024-02-08,39921,10.79,430.75
289,101,2024-02-20,48162,3.16,152.19
290,101,2024-03-02,28524,6.75,192.54
291,102,2024-01-30,44118,2.69,118.68
292,102,2024-01-02,2720,8.54,23.23
293,102,2024-01-12,33868,5.16,174.76
294,103,2024-02-17,12784,6.75,86.29
295,104,2024-01-22,49447,6.62,327.34
296,104,2024-02-02,4405,11.71,51.58
297,104,2024-03-23,5935,5.6,33.24
298,104,2024-03-13,8082,7.83,63.28
299,105,2024-01-30,1789,6.8,12.17
300,106,2024-01-06,46714,11.46,535.34
301,106,2024-02-02,18057,8.75,158.0
302,106,2024-02-06,12821,9.72,124.62
303,107,2024-02-29,13409,9.92,133.02
304,107,2024-01-01,29030,6.63,192.47
305,107,2024-02-01,15541,4.18,64.96
306,107,2024-02-03,14921,10.64,158.76
307,107,2024-02-15,40326,8.71,351.24
308,108,2024-01-16,10848,3.06,33.19
309,108,2024-02-06,43829,10.89,477.3
310,108,2024-03-23,41337,9.83,406.34
311,109,2024-03-16,2114,6.25,13.21
312,109,2024-01-19,47227,2.92,137.9
313,109,2024-01-23,17503,8.02,140.37
314,109,2024-01-01,38124,10.03,382.38
315,110,2024-01-15,44752,9.94,444.83
316,110,2024-02-09,10584,4.19,44.35
317,110,2024-01-13,17459,6.48,113.13
318,111,2024-01-26,38624,4.6,177.67
319,112,2024-03-05,45676,8.87,405.15
320,112,2024-03-11,7809,5.94,46.39
321,112,2024-02-03,23188,8.35,193.62
322,112,2024-01-18,15425,4.16,64.17
323,112,2024-02-03,12917,4.55,58.77
324,113,2024-03-16,42213,6.73,284.09
325,113,2024-01-17,2465,9.21,22.7
326,113,2024-02-09,29236,9.83,287.39
327,113,2024-02-25,24167,5.74,138.72
328,114,2024-01-13,33820,4.45,150.5
329,114,2024-02-21,11792,10.62,125.23
330,114,2024-03-31,47017,11.23,528.0
331,114,2024-01-25,18046,7.43,134.08
332,114,2024-02-23,39668,7.83,310.6
333,115,2024-03-30,32627,11.66,380.43
334,116,2024-01-04,5038,2.68,13.5
335,116,2024-02-05,3695,5.47,20.21
336,116,2024-01-30,14297,10.5,150.12
337,116,2024-01-31,24386,7.15,174.36
338,117,2024-03-12,5967,8.8,52.51
339,117,2024-03-02,23788,10.05,239.07
340,117,2024-01-31,23819,4.15,98.85
341,117,2024-01-11,47891,6.38,305.54
342,117,2024-01-29,33915,3.76,127.52
343,118,2024-01-14,27490,5.88,161.64
344,118,2024-02-16,14984,2.88,43.15
345,119,2024-01-03,34164,9.02,308.16
346,119,2024-01-01,12889,6.05,77.98
347,119,2024-01-24,19158,9.33,178.74
348,120,2024-03-01,47303,3.34,157.99
349,120,2024-02-25,39675,5.08,201.55
350,120,2024-03-07,32093,2.57,82.48
351,120,2024-01-31,44552,7.41,330.13
352,120,2024-03-13,44194,2.77,122.42
353,121,2024-02-11,13688,3.16,43.25
354,121,2024-01-28,11814,3.84,45.37
355,121,2024-03-28,1664,6.86,11.42
356,121,2024-03-06,13271,10.32,136.96
357,122,2024-02-27,31338,11.6,363.52
358,122,2024-02-16,11383,10.32,117.47
359,122,2024-02-10,20910,4.96,103.71
360,122,2024-01-01,33111,2.7,89.4
361,123,2024-01-28,19963,8.12,162.1
362,123,2024-01-11,20169,3.07,61.92
363,123,2024-02-28,6264,6.67,41.78
364,123,2024-03-26,11827,3.27,38.67
365,124,2024-02-05,25971,8.31,215.82
366,124,2024-01-11,10785,4.24,45.73
367,124,2024-01-03,3127,3.17,9.91
368,124,2024-03-10,35605,2.91,103.61
369,125,2024-01-20,17331,9.25,160.31
370,125,2024-01-08,16388,3.65,59.82
371,125,2024-02-10,21157,4.24,89.71
372,125,2024-02-28,39740,4.63,184.0
373,125,2024-03-21,17589,5.66,99.55
374,126,2024-01-13,3663,8.61,31.54
375,126,2024-01-11,37496,6.7,251.22
376,126,2024-03-05,15092,5.16,77.87
377,126,2024-02-01,37308,8.32,310.4
378,126,2024-01-14,13708,10.85,148.73
379,127,2024-01-27,43396,9.14,396.64
380,127,2024-03-07,46576,4.26,198.41
381,127,2024-01-25,47273,6.18,292.15
382,127,2024-01-20,23591,2.84,67.0
383,127,2024-02-04,21259,2.65,56.34
384,128,2024-02-25,22022,7.13,157.02
385,129,2024-03-15,16032,5.9,94.59
386,129,2024-02-14,12243,4.04,49.46
387,129,2024-03-31,31338,8.95,280.48
388,129,2024-03-25,24317,5.18,125.96
389,130,2024-03-19,47784,10.11,483.1
390,131,2024-02-17,25259,9.58,241.98
391,131,2024-03-07,41166,4.34,178.66
392,131,2024-03-22,29602,9.95,294.54
393,131,2024-03-19,8568,11.07,94.85
394,131,2024-03-20,43794,9.54,417.79
395,132,2024-03-14,2121,2.87,6.09
396,133,2024-01-29,39660,2.92,115.81
397,134,2024-03-23,45454,10.09,458.63
398,134,2024-01-11,26324,5.67,149.26
399,134,2024-02-04,37619,5.03,189.22
400,135,2024-03-16,36655,11.67,427.76
401,136,2024-01-02,38815,8.64,335.36
402,136,2024-01-05,26670,11.62,309.91
403,136,2024-03-28,26830,4.23,113.49
404,136,2024-01-13,10111,11.78,119.11
405,137,2024-02-15,35252,8.81,310.57
406,137,2024-02-02,14308,5.85,83.7
407,137,2024-01-22,8083,3.15,25.46
408,137,2024-02-28,10608,9.01,95.58
409,138,2024-01-15,47788,7.61,363.67
410,139,2024-02-03,9694,5.95,57.68
411,139,2024-03-08,43380,6.52,282.84
412,139,2024-02-04,37101,10.28,381.4
413,139,2024-03-25,13395,2.99,40.05
414,140,2024-03-25,43443,6.02,261.53
415,140,2024-02-02,28309,5.27,149.19
416,140,2024-03-17,39544,6.09,240.82
417,140,2024-01-15,4856,8.44,40.98
418,140,2024-02-21,23781,9.97,237.1
419,141,2024-01-11,19016,4.2,79.87
420,141,2024-01-26,29974,6.63,198.73
421,141,2024-03-07,41102,3.31,136.05
422,142,2024-02-07,1523,3.38,5.15
423,142,2024-02-01,33924,5.6,189.97
424,142,2024-01-12,17826,10.16,181.11
425,142,2024-01-28,13456,5.68,76.43
426,142,2024-03-25,29615,5.87,173.84
427,143,2024-02-14,26677,11.83,315.59
428,143,2024-02-09,39501,5.84,230.69
429,144,2024-02-16,9194,6.1,56.08
430,145,2024-01-13,3965,5.95,23.59
431,145,2024-02-13,4535,6.0,27.21
432,145,2024-03-29,33005,3.84,126.74
433,146,2024-03-31,30718,7.86,241.44
434,146,2024-03-06,1040,3.26,3.39
435,147,2024-02-01,11577,7.9,91.46
436,147,2024-02-07,32549,7.18,233.7
437,148,2024-03-27,40957,5.26,215.43
438,148,2024-01-29,47994,9.56,458.82
439,148,2024-03-27,35405,4.94,174.9
440,148,2024-03-10,14738,4.27,62.93
441,148,2024-02-26,27337,4.57,124.93
442,149,2024-03-02,25750,11.72,301.79
443,149,2024-03-31,21179,10.93,231.49
444,149,2024-01-29,37246,10.87,404.86
445,150,2024-03-04,26489,2.96,78.41
446,151,2024-03-03,5516,7.03,38.78
447,151,2024-01-25,24322,3.86,93.88
448,151,2024-02-09,9703,11.78,114.3
449,152,2024-03-10,10630,9.27,98.54
450,152,2024-01-26,46193,10.35,478.1
451,152,2024-03-16,12896,6.41,82.66
452,152,2024-02-03,8094,6.77,54.8
453,153,2024-03-28,35635,4.33,154.3
454,153,2024-01-12,7186,6.52,46.85
455,153,2024-03-03,26105,10.38,270.97
456,154,2024-03-24,47606,3.47,165.19
457,154,2024-02-19,14849,11.7,173.73
458,154,2024-01-16,6276,3.84,24.1
459,154,2024-02-13,24163,5.28,127.58
460,154,2024-03-09,26713,8.1,216.38
461,155,2024-01-14,39230,7.9,309.92
462,155,2024-02-25,30171,10.96,330.67
463,156,2024-03-05,7340,9.7,71.2
464,156,2024-01-31,20667,11.46,236.84
465,156,2024-01-17,9068,4.57,41.44
466,156,2024-02-03,31327,11.64,364.65
467,156,2024-03-28,46159,3.61,166.63
468,157,2024-02-27,25186,8.86,223.15
469,157,2024-03-30,40253,5.19,208.91
470,157,2024-03-10,6000,3.84,23.04
471,157,2024-02-20,21359,2.74,58.52
472,158,2024-03-12,44086,10.33,455.41
473,158,2024-03-17,36834,7.75,285.46
474,158,2024-01-05,23466,9.52,223.4
475,158,2024-03-28,33680,5.68,191.3
476,158,2024-02-24,35434,6.06,214.73
477,159,2024-03-24,4804,2.9,13.93
478,160,2024-02-28,9857,7.2,70.97
479,160,2024-02-06,37170,9.17,340.85
480,160,2024-03-06,47018,7.41,348.4
481,160,2024-03-02,3494,5.53,19.32
482,161,2024-02-19,34470,8.9,306.78
483,161,2024-03-22,47084,6.32,297.57
484,161,2024-03-22,8849,3.0,26.55
485,161,2024-03-08,20570,11.69,240.46
486,162,2024-03-09,24478,6.11,149.56
487,162,2024-01-16,15104,8.97,135.48
488,162,2024-01-09,2287,11.69,26.74
489,162,2024-03-14,20255,5.86,118.69
490,163,2024-01-10,29438,7.7,226.67
491,163,2024-03-22,47251,3.95,186.64
492,164,2024-01-04,18858,2.69,50.73
493,165,2024-02-23,38917,5.88,228.83
494,165,2024-03-14,7291,3.05,22.24
495,166,2024-03-18,15278,10.55,161.18
496,166,2024-02-26,30338,3.44,104.36
497,167,2024-01-30,39369,9.39,369.67
498,168,2024-01-01,17392,8.64,150.27
499,168,2024-01-05,31668,4.95,156.76
500,169,2024-03-11,34422,4.3,148.01
501,169,2024-01-05,6534,4.97,32.47
502,169,2024-02-16,8525,2.62,22.34
503,170,2024-03-06,35102,10.4,365.06
504,170,2024-01-17,17717,11.1,196.66
505,170,2024-01-05,25227,7.03,177.35
506,170,2024-03-31,25812,6.61,170.62
507,171,2024-02-20,7686,11.96,91.92
508,171,2024-03-01,30872,3.66,112.99
509,171,2024-03-16,23656,5.41,127.98
510,171,2024-02-24,21113,11.14,235.2
511,171,2024-02-04,32120,7.35,236.08
512,172,2024-01-08,1919,11.68,22.41
513,172,2024-01-25,39866,6.56,261.52
514,172,2024-02-27,48706,7.4,360.42
515,172,2024-03-25,14721,11.08,163.11
516,172,2024-02-01,22679,7.92,179.62
517,173,2024-02-25,49642,8.92,442.81
518,173,2024-02-11,32211,9.3,299.56
519,173,2024-01-06,27517,6.24,171.71
520,174,2024-01-08,11236,6.66,74.83
521,175,2024-01-27,23934,10.38,248.43
522,176,2024-01-23,11874,6.15,73.03
523,176,2024-03-04,15018,9.36,140.57
524,176,2024-02-16,19542,7.91,154.58
525,176,2024-01-23,43881,4.63,203.17
526,177,2024-02-29,5488,3.32,18.22
527,177,2024-02-15,43816,11.57,506.95
528,177,2024-01-25,45829,7.56,346.47
529,178,2024-03-09,28435,2.74,77.91
530,178,2024-01-25,4699,3.04,14.28
531,178,2024-03-11,47256,10.36,489.57
532,178,2024-03-31,39012,11.58,451.76
533,179,2024-03-04,33001,8.51,280.84
534,180,2024-01-23,10855,10.48,113.76
535,180,2024-02-29,15361,5.09,78.19
536,181,2024-01-27,44279,2.72,120.44
537,181,2024-03-18,26376,9.71,256.11
538,181,2024-01-17,8571,5.01,42.94
539,181,2024-01-10,35278,9.88,348.55
540,182,2024-02-10,40249,7.22,290.6
541,182,2024-02-01,1473,4.51,6.64
542,182,2024-03-31,28630,4.87,139.43
543,182,2024-03-15,42859,4.47,191.58
544,183,2024-02-08,8889,9.88,87.82
545,183,2024-03-09,22028,5.38,118.51
546,183,2024-03-15,27058,9.53,257.86
547,183,2024-01-05,27937,5.47,152.82
548,184,2024-02-17,48063,8.37,402.29
549,184,2024-01-01,25079,7.21,180.82
550,184,2024-03-25,19595,8.35,163.62
551,184,2024-02-23,43886,2.77,121.56
552,185,2024-02-06,26035,5.63,146.58
553,185,2024-03-06,10450,10.72,112.02
554,185,2024-02-27,47827,10.27,491.18
555,186,2024-01-28,35585,3.62,128.82
556,187,2024-02-04,44896,6.6,296.31
557,187,2024-02-23,44866,7.85,352.2
558,187,2024-02-29,32856,3.66,120.25
559,188,2024-01-12,13248,10.86,143.87
560,188,2024-01-11,15386,11.86,182.48
561,188,2024-02-07,26748,4.12,110.2
562,189,2024-02-17,10747,9.96,107.04
563,189,2024-03-02,7984,11.87,94.77
564,189,2024-03-01,9071,5.15,46.72
565,189,2024-01-17,1389,11.9,16.53
566,189,2024-03-24,38106,4.82,183.67
567,190,2024-01-02,29030,3.6,104.51
568,190,2024-03-08,39758,10.78,428.59
569,190,2024-01-17,13552,9.63,130.51
570,190,2024-02-10,34465,10.03,345.68
571,190,2024-03-14,39423,4.31,169.91
572,191,2024-02-04,9940,5.27,52.38
573,192,2024-02-03,22263,8.8,195.91
574,192,2024-01-16,14614,4.63,67.66
575,193,2024-02-10,30492,7.43,226.56
576,193,2024-03-30,23191,10.35,240.03
577,193,2024-01-13,32939,9.53,313.91
578,193,2024-03-15,19735,4.16,82.1
579,193,2024-03-12,35748,3.11,111.18
580,194,2024-03-30,29010,5.61,162.75
581,194,2024-01-14,44598,4.86,216.75
582,194,2024-03-24,28114,2.7,75.91
583,195,2024-01-18,12217,9.83,120.09
584,195,2024-03-24,31795,7.02,223.2
585,195,2024-03-31,13180,9.27,122.18
586,196,2024-03-12,20959,7.32,153.42
587,196,2024-02-22,39756,8.89,353.43
588,196,2024-01-15,14882,4.72,70.24
589,196,2024-01-03,11943,3.97,47.41
590,196,2024-03-31,3886,6.25,24.29
591,197,2024-01-16,30053,11.1,333.59
592,197,2024-03-29,9425,11.93,112.44
593,197,2024-02-06,20358,3.38,68.81
594,197,2024-01-31,11679,8.63,100.79
595,198,2024-02-17,14744,8.34,122.96
596,198,2024-01-13,16358,3.27,53.49
597,199,2024-01-13,32878,9.84,323.52
598,199,2024-03-20,17535,2.51,44.01
599,199,2024-01-30,44123,11.65,514.03
600,200,2024-01-02,21090,9.6,202.46
601,200,2024-02-09,47032,6.16,289.72
602,201,2024-03-23,25401,11.79,299.48
603,201,2024-01-20,33569,9.44,316.89
604,201,2024-03-30,34893,9.14,318.92
605,201,2024-01-16,7354,5.67,41.7
606,201,2024-01-09,6086,5.91,35.97
607,202,2024-03-12,32938,5.04,166.01
608,202,2024-03-30,41886,10.51,440.22
609,202,2024-01-18,6338,8.15,51.65
610,202,2024-03-27,47441,8.13,385.7
611,203,2024-02-04,33272,8.35,277.82
612,204,2024-01-30,17791,11.85,210.82
613,204,2024-01-26,8228,8.24,67.8
614,204,2024-03-23,3375,6.49,21.9
615,204,2024-01-24,8314,5.61,46.64
616,204,2024-03-21,46452,8.5,394.84
617,205,2024-02-22,24735,7.81,193.18
618,205,2024-02-07,21728,10.98,238.57
619,205,2024-02-16,40572,4.93,200.02
620,205,2024-03-29,40974,10.04,411.38
621,206,2024-01-28,12966,10.25,132.9
622,207,2024-02-01,36268,3.71,134.55
623,208,2024-03-15,40232,7.74,311.4
624,208,2024-02-29,1608,10.5,16.88
625,208,2024-02-11,42407,5.92,251.05
626,208,2024-01-26,45112,8.97,404.65
627,208,2024-03-02,24326,6.72,163.47
628,209,2024-01-14,7513,9.75,73.25
629,209,2024-03-08,8108,9.65,78.24
630,209,2024-03-13,13435,8.5,114.2
631,209,2024-03-19,12814,2.93,37.55
632,210,2024-03-30,19193,10.97,210.55
633,211,2024-01-13,36688,11.16,409.44
